"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4B363ES9","conferencePaper","2011","Piccolo, Elio; Squillero, Giovanni","Adaptive opponent modelling for the iterated prisoner's dilemma","2011 IEEE Congress of Evolutionary Computation (CEC)","","","10.1109/CEC.2011.5949705","https://ieeexplore.ieee.org/document/5949705/","This paper describes the design of Laran, an intelligent player for the iterated prisoner's dilemma. Laran is based on an evolutionary algorithm, but instead of using evolution as a mean to define a suitable strategy, it uses evolution to model the behavior of its adversary. In some sense, it understands its opponent, and then exploits such knowledge to devise the best possible conduct. The internal model of the opponent is continuously adapted during the game to match the actual outcome of the game, taking into consideration all played actions. Whether the model is correct, Laran is likely to gain constant advantages and eventually win. A prototype of the proposed approach was matched against twenty players implementing state-of-the art strategies. Results clearly demonstrated the claims.","2011-06","2025-11-04 08:56:57","2025-11-04 09:58:46","2025-11-04 08:56:16","836-841","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/CA4NN9XQ/Piccolo and Squillero - 2011 - Adaptive opponent modelling for the iterated prisoner's dilemma.pdf","","Evolutionary algorithms; FSM; Gain constant; games; Internal models; Iterated prisoner's dilemma; State of the art","Adaptation models; Cloning; Computational modeling; Evolution (biology); evolutionary algorithm; Evolutionary computation; Game theory; Games; iterated prisoner's dilemma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011 IEEE Congress of Evolutionary Computation (CEC)","","","","","","","","","","","","","","",""
"Q9SGDVLN","journalArticle","2016","Gaudesi, Marco; Piccolo, Elio; Squillero, Giovanni; Tonda, Alberto","Exploiting Evolutionary Modeling to Prevail in Iterated Prisoner’s Dilemma Tournaments","IEEE Transactions on Computational Intelligence and AI in Games","","1943-0698","10.1109/TCIAIG.2015.2439061","https://ieeexplore.ieee.org/document/7114231/","The iterated prisoner's dilemma is a famous model of cooperation and conflict in game theory. Its origin can be traced back to the Cold War, and countless strategies for playing it have been proposed so far, either designed by hand or automatically generated by computers. In the 2000s, scholars started focusing on adaptive players, that is, able to classify their opponent's behavior and adopt an effective counter-strategy. The player presented in this paper, pushes such idea even further: it builds a model of the current adversary from scratch, without relying on any pre-defined archetypes, and tweaks it as the game develops using an evolutionary algorithm; at the same time, it exploits the model to lead the game into the most favorable continuation. Models are compact nondeterministic finite state machines; they are extremely efficient in predicting opponents' replies, without being completely correct by necessity. Experimental results show that such a player is able to win several one-to-one games against strong opponents taken from the literature, and that it consistently prevails in round-robin tournaments of different sizes.","2016-09","2025-11-04 08:56:57","2025-11-04 09:58:49","2025-11-04 08:56:19","288-300","","3","8","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/5Y77VQI5/Gaudesi et al. - 2016 - Exploiting Evolutionary Modeling to Prevail in Iterated Prisoner’s Dilemma Tournaments.pdf","","Automatically generated; Cold wars; Different sizes; Evolutionary algorithms; Evolutionary models; Game theory; Iterated prisoner's dilemma; Non-deterministic finite state machine; Opponent modeling; Round robin tournaments; Routers","Adaptation models; Computational modeling; Games; iterated prisoner’s dilemma; Mathematical model; nondeterministic finite state machine; opponent modeling; Sociology; Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABBIPEPA","conferencePaper","2013","Park, Hyunsoo; Kim, Kyung-Joong","Opponent modeling with incremental active learning: A case study of Iterative Prisoner's Dilemma","2013 IEEE Conference on Computational Inteligence in Games (CIG)","","","10.1109/CIG.2013.6633665","https://ieeexplore.ieee.org/document/6633665/","What's the most important sources of information to guess the internal strategy of your opponents? The best way is to play games against them and infer their strategy from the experience. For novice players, they should play lot of games to identify other's strategy successfully. However, experienced players usually play small number of games to model other's strategy. The secret is that they intelligently design their plays to maximize the chance of discovering the most uncertain parts. Similarly, in this paper, we propose to use an incremental active learning for modeling opponents. It refines the other's models incrementally by cycling “estimation (inference)“ and “exploration (playing games)” steps. Experimental results with Iterative Prisoner's Dilemma games show that the proposed method can reveal other's strategy successfully.","2013-08","2025-11-04 08:56:57","2025-11-04 09:59:08","2025-11-04 08:56:22","1-2","","","","","","Opponent modeling with incremental active learning","","","","","","","","","","","","IEEE Xplore","","ISSN: 2325-4289","","/home/paqh/Zotero/storage/WVSWGB5P/Park and Kim - 2013 - Opponent modeling with incremental active learning A case study of Iterative Prisoner's Dilemma.pdf","","Active Learning; Artificial intelligence; Estimation-exploration algorithms; Game theory; Internal strategies; Iterative methods; Iterative prisoner's dilemmas; Opponent modeling; Sources of informations; Theory of minds","estimation-exploration algorithm; game theory; Games; Genetic algorithms; iterative prisoner's dilemma; Observers; Reverse engineering; Robots; theory of mind; Trajectory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013 IEEE Conference on Computational Inteligence in Games (CIG)","","","","","","","","","","","","","","",""
"UHH6AFKD","conferencePaper","2024","Qiao, Xinyu; Han, Congyin; Guo, Tainde","O2M: Online Opponent Modeling in Online General-Sum Matrix Games","2024 4th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)","","","10.1109/ICAIRC64177.2024.10899996","https://ieeexplore.ieee.org/document/10899996/","This paper focuses on strategy learning in online general-sum games, specifically addressing online matrix games (MGs), where two players control parameters and face an unknown, stochastically varying payoff matrix. The goal is to learn strategies that maximize long-term rewards within this dynamic and uncertain game environment. We introduce Online Opponent Modeling (O2M), a novel algorithm designed to overcome the limitations of OMG-RFTL, which struggles in general-sum game settings. O2M incorporates opponent modeling techniques into online game frameworks, alleviating the non-stationarity issue inherent in multi-agent systems and enabling agents to achieve superior rewards.","2024-12","2025-11-04 08:56:57","2025-11-04 09:53:06","2025-11-04 08:56:25","358-361","","","","","","O2M","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/BSW9J3D3/Qiao et al. - 2024 - O2M Online Opponent Modeling in Online General-Sum Matrix Games.pdf","","","Artificial intelligence; Faces; Games; Heuristic algorithms; Matrix Game; Multi-agent systems; Online learning; Opponent modeling; Robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 4th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)","","","","","","","","","","","","","","",""
"YGYUYYH2","conferencePaper","2002","Bjarnason, R.V.; Peterson, T.S.","Multi-agent learning via implicit opponent modeling","Proceedings of the 2002 Congress on Evolutionary Computation. CEC'02 (Cat. No.02TH8600)","","","10.1109/CEC.2002.1004470","https://ieeexplore.ieee.org/document/1004470/","We present a learning algorithm for two player stochastic games. The algorithm generates optimal deterministic finite automata (DFA) strategies against opponents who can be modeled by probabilistic action automata. The algorithm generates dynamic history trees based on statistical tests to eliminate state aliasing. Experiments are conducted in an iterated prisoner's dilemma environment.","2002-05","2025-11-04 08:56:57","2025-11-04 09:59:05","2025-11-04 08:56:28","1534-1539 vol.2","","","2","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/PEMU7DEW/Bjarnason and Peterson - 2002 - Multi-agent learning via implicit opponent modeling.pdf","","Algorithms; Aliasing; Automata theory; Deterministic finite automata; Game theory; Iterated prisoner's dilemma; Multi-agent learning; Opponent modeling; Stochastic game; Trees (mathematics)","Computational modeling; Computer science; Doped fiber amplifiers; Heuristic algorithms; History; Learning automata; Nash equilibrium; Stochastic processes; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2002 Congress on Evolutionary Computation. CEC'02 (Cat. No.02TH8600)","","","","","","","","","","","","","","",""
"EAQ3CLF9","conferencePaper","2002","Clymer, J.R.","Simulation-based engineering of complex systems using EXTEND+MFG+OpEMCSS","Proceedings of the Winter Simulation Conference","","","10.1109/WSC.2002.1172878","https://ieeexplore.ieee.org/document/1172878/","A Complex Adaptive System (CAS) is a network of self-organizing, intelligent agents that share knowledge and adapt their operations in order to achieve overall system goals. Three things are needed to understand, design, and evaluate CAS. First, a mathematical model or way-of-thinking about CAS, called Context-Sensitive Systems (CSS) theory, is required to provide a solid foundation upon which to represent and describe the kinds of interactions that occur among the CAS agents during system operation. Second, a graphical modeling language is required that implements CSS theory in a way that enhances visualization and understanding of CAS. Third, a systems design and evaluation tool is required that makes it easy to apply CSS theory, expressed using a graphical modeling language, to understand, design, and evaluate CAS. As an example, an OpEMCSS model of two intelligent agents is discussed that learn rules and maximize their average reward in the prisoner's dilemma game.","2002-12","2025-11-04 08:56:57","2025-11-04 09:53:18","2025-11-04 08:56:31","147-156 vol.1","","","1","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/TB6FWAKC/Clymer - 2002 - Simulation-based engineering of complex systems using EXTEND+MFG+OpEMCSS.pdf","","","Adaptive systems; Air traffic control; Cascading style sheets; Content addressable storage; Data engineering; Databases; Design engineering; Intelligent agent; Modeling; Systems engineering and theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the Winter Simulation Conference","","","","","","","","","","","","","","",""
"UMY7IVTX","conferencePaper","2025","Zhu, Lei; Zhu, Yuying; Xia, Chengyi","Evolutionary Dynamics of Cooperation and Extortion on Networks With Fitness-Dependent Rules","2025 Joint International Conference on Automation-Intelligence-Safety (ICAIS) & International Symposium on Autonomous Systems (ISAS)","","","10.1109/ICAISISAS64483.2025.11051564","https://ieeexplore.ieee.org/document/11051564/","This study establishes a multi-agent modeling framework to analyze the evolutionary dynamics of zero-determinant strategies on regular networks under hybrid social dilemmas integrating Prisoner’s Dilemma and Snowdrift game. By formulating fitness-driven dynamical equations, theoretical and numerical results reveal that cooperators exhibit dominance in steady-state under pairwise comparison rules, whereas extortion strategies demonstrate significant invasion characteristics in scale-free networks under death-birth update rule. Notably, the influence of both temptation and extortion factors on cooperation evolution exhibits a pronounced rule-dependent phenomenon. By decoupling the multidimensional coupling effects of network topology, strategy update rule and payoff parameters, we establish critical criteria for cooperation evolution. These findings provide a dynamical theoretical basis for illustrating cooperation emergence mechanisms in complex social networks and designing intervention strategies to enhance collective cooperation.","2025-05","2025-11-04 08:56:57","2025-11-04 09:58:48","2025-11-04 08:56:35","1-6","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2996-3850","","/home/paqh/Zotero/storage/VKZ5HZSN/Zhu et al. - 2025 - Evolutionary Dynamics of Cooperation and Extortion on Networks With Fitness-Dependent Rules.pdf","","Dynamical equation; Dynamics; Evolutionary dynamics; Evolutionary game dynamic; Evolutionary games; Game theory; Intelligent agents; Modelling framework; Multi agent systems; Multi-Agent Model; Network topology; Prisoner dilemma game; Regular networks; Social dilemmas; Zero determinant strategy","Analytical models; Couplings; Dynamical equations; Evolutionary game dynamics; Games; Mathematical models; Numerical models; Simulation; Social networking (online); Steady-state","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 Joint International Conference on Automation-Intelligence-Safety (ICAIS) & International Symposium on Autonomous Systems (ISAS)","","","","","","","","","","","","","","",""
"NX9WUARR","conferencePaper","2010","Lee, Seung-Hyun; Park, Han-Saem; Cho, Sung-Bae","Empirical analysis of international trade market using evolutionary multi-agent modeling with game theory","IEEE Congress on Evolutionary Computation","","","10.1109/CEC.2010.5586525","https://ieeexplore.ieee.org/document/5586525/","Multi-agent based approach is reasonable and expandable methodology for simulating social phenomenon. In this paper, we simulate a developmental aspect of international trade market using multi-agent based modeling. Evolutionary computation is used to construct adaptive agent model which continuously evolves its trading strategy. Through the experiments, we show that our simulation model effectively reflects tendency of real-world international trade and existing economic research. Particularly, we find interesting result from the analysis of prevalent strategy of agents, and developmental aspects in international trade market.","2010-07","2025-11-04 08:56:57","2025-11-04 09:50:55","2025-11-04 08:56:38","1-7","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/ADMACRJ3/Lee et al. - 2010 - Empirical analysis of international trade market using evolutionary multi-agent modeling with game t.pdf","","","Adaptation model; Biological system modeling; Computational modeling; Economic indicators; International trade; Trade agreements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE Congress on Evolutionary Computation","","","","","","","","","","","","","","",""
"UE2H6GVG","conferencePaper","1998","Carmel, D.; Markovitch, S.","How to explore your opponent's strategy (almost) optimally","Proceedings International Conference on Multi Agent Systems (Cat. No.98EX160)","","","10.1109/ICMAS.1998.699033","https://ieeexplore.ieee.org/document/699033/","Presents a lookahead-based exploration strategy for a model-based learning agent that enables exploration of the opponent's behavior during interaction in a multi-agent system. Instead of holding one model, the model-based agent maintains a mixed opponent model, a distribution over a set of models that reflects its uncertainty about the opponent's strategy. Every action is evaluated according to its long run contribution to the expected utility and to the knowledge regarding the opponent's strategy. We present an efficient algorithm that returns an almost optimal exploration strategy against a given mixed model, and a learning method for acquiring a mixed model consistent with the opponent's past behavior. We report experimental results in the Iterated Prisoner's Dilemma game that demonstrate the superiority of the lookahead-based exploration strategy over other exploration methods.","1998-07","2025-11-04 08:56:57","2025-11-04 09:58:52","2025-11-04 08:56:44","64-71","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/3UTQXZCB/Carmel and Markovitch - 1998 - How to explore your opponent's strategy (almost) optimally.pdf","","Expected utility; Exploration methods; Exploration strategies; Iterated prisoner's dilemma; Learning methods; Model-based OPC; Modeling-based learning; Multi agent systems; Opponent modeling","Books; Economic forecasting; History; Learning automata; Multiagent systems; Neural networks; Power generation economics; Predictive models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Multi Agent Systems (Cat. No.98EX160)","","","","","","","","","","","","","","",""
"CHMIJD36","journalArticle","2010","Tsang, Jeffrey","The Parametrized Probabilistic Finite-State Transducer Probe Game Player Fingerprint Model","IEEE Transactions on Computational Intelligence and AI in Games","","1943-0698","10.1109/TCIAIG.2010.2062512","https://ieeexplore.ieee.org/document/5535135/","Fingerprinting operators generate functional signatures of game players and are useful for their automated analysis independent of representation or encoding. The theory for a fingerprinting operator which returns the length-weighted probability of a given move pair occurring from playing the investigated agent against a general parametrized probabilistic finite-state transducer (PFT) is developed, applicable to arbitrary iterated games. Results for the distinguishing power of the 1-state opponent model, uniform approximability of fingerprints of arbitrary players, analyticity and Lipschitz continuity of fingerprints for logically possible players, and equicontinuity of the fingerprints of bounded-state probabilistic transducers are derived. Algorithms for the efficient computation of special instances are given; the shortcomings of a previous model, strictly generalized here from a simple projection of the new model, are explained in terms of regularity condition violations, and the extra power and functional niceness of the new fingerprints demonstrated. The 2-state deterministic finite-state transducers (DFTs) are fingerprinted and pairwise distances computed; using this the structure of DFTs in strategy space is elucidated.","2010-09","2025-11-04 08:56:57","2025-11-04 09:53:28","2025-11-04 08:56:50","208-224","","3","2","","","","","","","","","","","","","","","IEEE Xplore","","","","/home/paqh/Zotero/storage/QEEAMQSM/Tsang - 2010 - The Parametrized Probabilistic Finite-State Transducer Probe Game Player Fingerprint Model.pdf","","","Automated analysis; Biological information theory; Biological system modeling; combinatorial mathematics; Computational intelligence; Encoding; Evolution (biology); Evolutionary computation; Fingerprint recognition; game theory; Game theory; Probes; stochastic automata; Transducers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
